Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
"a horse, a horse, my kingdom for a horse",1.92,,1.92,,
a hot potato,3.73,,3.73,,
a house divided against itself cannot stand,2.4,,2.4,,
a house is not a home,1.9,,1.9,,
a house of cards,2.6,,2.6,,
a house of ill repute,2.7,,2.7,,
a hundred times,3.3,,3.3,,
a journey of a thousand miles begins with a single step,1.8,,1.8,,
a kick in the guts,2.2,,2.2,,
a kick in the pants,1.7,,1.7,,
a kick in the seat,2.5,,2.5,,
a kick in the seat of the pants,2.36,,2.36,,
a kick in the stomach,2.9,,2.9,,
a kick in the teeth,2.1,,2.1,,
a kickback,2.4,,2.4,,
a knight in shining armour,3.5,,3.5,,
a lack of,2.2,,2.2,,
a large range of,2.2,,2.2,,
a laugh a minute,2.7,,2.7,,
a leg to stand on,2.7,,2.7,,
a legend in one's own lifetime,1.7,,1.7,,
a leopard can't change his spots,2.0,,2.0,,
a leopard cannot change its spots,1.7,,1.7,,
a let down,1.4,,1.4,,
A level,3.83,,3.83,,
a lick and a promise,1.91,,1.91,,
a likely story,1.8,,1.8,,
a little,2.6,,2.6,,
a little bird told me,2.0,,2.0,,
a little birdie told me,1.3,,1.3,,
a little bit,2.55,,2.55,,
a little bit of,2.2,,2.2,,
a little bit of bread and no cheese,3.3,,3.3,,
a little knowledge is a dangerous thing,1.4,,1.4,,
a little learning is a dangerous thing,2.1,,2.1,,
a little of what you fancy does you good,3.1,,3.1,,
a load of baloney,2.0,,2.0,,
a load of cobblers,2.91,,2.91,,
a load of codswallop,1.6,,1.6,,
a lone wolf,2.1,,2.1,,
a long shot,2.0,,2.0,,
a long time,1.83,,1.83,,
a long way,2.58,,2.58,,
a loose end,1.7,,1.7,,
a lost cause,1.67,,1.67,,
a lot,2.9,,2.9,,
a lot at stake,2.0,,2.0,,
a lot of,2.09,,2.09,,
a lot of baloney,1.8,,1.8,,
a lot on your plate,2.0,,2.0,,
a low profile,1.82,,1.82,,
a lump in my throat,2.33,,2.33,,
A major,3.09,,3.09,,
a majority of,2.64,,2.64,,
a man after my own heart,1.7,,1.7,,
a man is known by his friends,1.7,,1.7,,
a man of few words,2.1,,2.1,,
a man of his word,2.09,,2.09,,
a man who is his own lawyer has a fool for a client,2.3,,2.3,,
a matter of life and death,2.92,,2.92,,
a matter of life or death,2.3,,2.3,,
a matter of time,2.1,,2.1,,
a mere,1.73,,1.73,,
a method to the madness,1.9,,1.9,,
a mile a minute,2.0,,2.0,,
a million times,2.64,,2.64,,
a millstone around one's neck,2.73,,2.73,,
a ministering angel shall my sister be,1.5,,1.5,,
a minority of,2.27,,2.27,,
a miss is as good as a mile,2.0,,2.0,,
a mixed bag,3.2,,3.2,,
a month of sundays,1.5,,1.5,,
a must,2.1,,2.1,,
a nation of shopkeepers,3.1,,3.1,,
a necessary evil,2.0,,2.0,,
a nervous wreck,2.0,,2.0,,
a nest of vipers,2.82,,2.82,,
a new broom sweeps clean,2.5,,2.5,,
a new dawn,1.6,,1.6,,
a no-brainer,2.0,,2.0,,
a No. 1,2.42,,2.42,,
a nod is as good as a wink,1.81,,1.81,,
a nod is as good as a wink to a blind horse,1.69,,1.69,,
a notch above,2.09,,2.09,,
a number of,2.5,,2.5,,
a one,3.1,,3.1,,
a pair,3.55,,3.55,,
a pat on the back,3.2,,3.2,,
a peach,4.9,,4.9,,
a penny for your thoughts,1.5,,1.5,,
a penny saved is a penny earned,2.6,,2.6,,
a person is known by the company he keeps,2.1,,2.1,,
a picture is worth a thousand words,2.18,,2.18,,
a picture paints a thousand words,1.8,,1.8,,
a piece of cake,3.7,,3.7,,
a piece of the action,1.91,,1.91,,
a pig in a poke,1.7,,1.7,,
a pillar of strength,1.5,,1.5,,
a pipe dream,1.3,,1.3,,
a place for everything and everything in its place,2.42,,2.42,,
a place in the sun,2.4,,2.4,,
a plague on both of your houses,1.4,,1.4,,
a plague on both your houses,2.55,,2.55,,
a pleasure,3.1,,3.1,,
a plethora of,2.94,,2.94,,
a plum in your mouth,2.9,,2.9,,
a plum job,1.93,,1.93,,
a plus,2.8,,2.8,,
a pocket of resistance,2.7,,2.7,,
a poor view,3.0,,3.0,,
a poor workman always blames his tools,2.0,,2.0,,
a pound of flesh,3.08,,3.08,,
a pretty penny,2.6,,2.6,,
a priori,2.0,,2.0,,
a problem shared is a problem halved,2.0,,2.0,,
a prophet is not recognized in his own land,1.8,,1.8,,
a propos,2.4,,2.4,,
a put-down,2.3,,2.3,,
a quantity of,2.8,,2.8,,
a question of,2.1,,2.1,,
a question of time,2.18,,2.18,,
a range of,2.5,,2.5,,
a red line,3.92,,3.92,,
a red rag to a bull,2.2,,2.2,,
a riddle wrapped up in an enigma,1.7,,1.7,,
a rip-off,2.7,,2.7,,
a ripe old age,2.35,,2.35,,
a rising tide lifts all boats,2.3,,2.3,,
a roaring trade,2.0,,2.0,,
a roll,3.75,,3.75,,
a rolling stone gathers no moss,1.9,,1.9,,
a rose by any other name would smell as sweet,2.4,,2.4,,
a rose is a rose is a rose,2.4,,2.4,,
a rotten egg,3.9,,3.9,,
a rude awakening,2.5,,2.5,,
a running battle,2.2,,2.2,,
a sad state of affairs,1.6,,1.6,,
a safe pair of hands,2.0,,2.0,,
a sea change,2.1,,2.1,,
a sec,3.0,,3.0,,
a senior moment,2.1,,2.1,,
a shame,1.25,,1.25,,
a sharp cookie,2.1,,2.1,,
a short time,2.45,,2.45,,
a shot in the arm,3.09,,3.09,,
a shot in the dark,1.82,,1.82,,
a shouting match,2.55,,2.55,,
a show of hands,3.55,,3.55,,
a shrinking violet,2.0,,2.0,,
a sight for sore eyes,2.09,,2.09,,
a silver spoon in your mouth,1.67,,1.67,,
a single,2.82,,2.82,,
a skeleton in the closet,1.2,,1.2,,
a slap in the face,2.5,,2.5,,
a slap on the wrist,2.82,,2.82,,
a sledgehammer to crack a nut,2.8,,2.8,,
a sleeping partner,3.1,,3.1,,
a slice of heaven,1.55,,1.55,,
a slice of the cake,3.4,,3.4,,
a slip of the tongue,2.0,,2.0,,
a smart cookie,2.25,,2.25,,
a smokescreen,2.4,,2.4,,
a smooth landing,2.4,,2.4,,
a snake in the grass,2.45,,2.45,,
a snap decision,2.35,,2.35,,
a social butterfly,2.0,,2.0,,
a soft answer turneth away wrath,1.7,,1.7,,
a sore point,1.87,,1.87,,
a sore spot,2.82,,2.82,,
a sorry sight,2.2,,2.2,,
a sorry state of affairs,2.1,,2.1,,
a sport,3.3,,3.3,,
a square peg in a round hole,1.6,,1.6,,
a stitch in time saves nine,1.6,,1.6,,
a stone's throw,2.42,,2.42,,
a stone's throw away,2.73,,2.73,,
a stool pigeon,2.94,,2.94,,
a storm is brewing,1.91,,1.91,,
a stretch,2.45,,2.45,,
a student,3.9,,3.9,,
a stumbling block,2.8,,2.8,,
a tall order,2.1,,2.1,,
a tall story,1.8,,1.8,,
a tall tale,1.92,,1.92,,
a target on someone's back,2.09,,2.09,,
a taste of one's own medicine,1.22,,1.22,,
a taste of your own medicine,2.09,,2.09,,
a thin line,3.0,,3.0,,
a thing of beauty is a joy forever,2.4,,2.4,,
a thing or two,2.73,,2.73,,
a thorn in my flesh,2.42,,2.42,,
a thorn in your flesh,3.2,,3.2,,
a thorn in your side,1.9,,1.9,,
a tinker's damn,2.17,,2.17,,
a to z,2.0,,2.0,,
a to-do,3.18,,3.18,,
a ton,3.8,,3.8,,
a tongue-lashing,2.06,,2.06,,
a toss up,2.0,,2.0,,
a touch,3.4,,3.4,,
a touch of,2.4,,2.4,,
a tough cookie,1.4,,1.4,,
a tower of strength,2.7,,2.7,,
a treat,2.6,,2.6,,
a trifle,2.4,,2.4,,
a trouble shared is a trouble halved,2.0,,2.0,,
a trying time,2.1,,2.1,,
a turn for the worse,2.5,,2.5,,
a turn up for the books,1.2,,1.2,,
a variety of,1.91,,1.91,,
a volunteer is worth twenty pressed men,1.7,,1.7,,
a watched pot never boils,2.4,,2.4,,
a week from next tuesday,2.8,,2.8,,
a weight off your shoulders,2.4,,2.4,,
a whale of a time,1.9,,1.9,,
a while,2.4,,2.4,,
a white lie,1.7,,1.7,,
a whole lot,2.3,,2.3,,
a wide berth,2.4,,2.4,,
a wing and a prayer,1.9,,1.9,,
a wolf in sheep's clothing,1.7,,1.7,,
"a woman is only a woman, but a good cigar is a smoke",1.65,,1.65,,
a woman needs a man like a fish needs a bicycle,1.7,,1.7,,
a woman of her word,1.73,,1.73,,
a woman's place is in the home,1.3,,1.3,,
a woman's work is never done,2.3,,2.3,,
a word in edgeways,1.27,,1.27,,
a word to the wise,1.6,,1.6,,
a word to the wise is enough,1.36,,1.36,,
a young man's fancy,2.6,,2.6,,
a-flat minor,3.0,,3.0,,
a-frame house,3.73,,3.73,,
a-frame tent,4.0,,4.0,,
a-level,2.9,,2.9,,
a-sharp major,2.7,,2.7,,
a-team,2.8,,2.8,,
A1,2.5,,2.5,,
A2 level,2.9,,2.9,,
aardvark,4.68,4.68,,,
aback,1.65,1.65,,,
abacus,4.52,4.52,,,
abandon,2.54,2.54,,,
abandon a sinking ship,1.8,,1.8,,
abandon all hope ye who enter here,1.8,,1.8,,
abandon ship,4.1,,4.1,,
abandoned,2.52,2.52,,,
abandoned infant,4.0,,4.0,,
abandonee,2.92,2.92,,,
abandoner,2.5,2.5,,,
abandonment,2.54,2.54,,,272
abasement,1.67,1.67,,,275
abate of,2.15,,2.15,,
abatement,1.92,1.92,,,250
abatement of a nuisance,1.6,,1.6,,
abattoir,3.97,,,5.455,
abbess,3.01,,,,401
abbey,4.27,,,5.906,
abbreviate,2.59,2.59,,3.286,
abbreviated,3.1,3.1,,,
abbreviated piece of nothing,1.3,,1.3,,
abbreviation,3.07,3.07,,,
abdicate,2.08,2.08,,3.367,
abdication,2.53,,,3.292,275
abdomen,4.7,4.7,,6.606,586
abdominal,4.28,4.28,,5.735,
abdominal cavity,4.5,,4.5,,
abdominal muscle,4.2,,4.2,,
abdominal pregnancy,3.8,,3.8,,
abdominal quadrant,3.69,,3.69,,
abdominal strap,4.4,,4.4,,
abdominal wall,4.4,,4.4,,
abdominally,3.15,3.15,,,
abdominodiaphragmatic breathing,3.7,,3.7,,
abdominoperineal resection,3.8,,3.8,,
abduct,2.88,2.88,,4.441,
abducted,3.54,,,4.813,
abductee,3.27,3.27,,,
abduction,3.07,3.07,,4.912,337
abductor,3.89,3.89,,,
abductor muscle,4.55,,4.55,,
aberration,2.47,,,3.208,330
abhor,1.81,1.81,,,320
abhorrence,2.15,2.15,,,
abhorrently,2.04,2.04,,,
abhorring,1.68,1.68,,,
abide,1.68,1.68,,2.485,
abide by,2.27,,2.27,,
abide by something,2.3,,2.3,,
abide with me,2.09,,2.09,,
abiding,2.07,2.07,,,
abidingly,1.82,1.82,,,
abietic acid,4.0,,4.0,,
ability,1.81,1.81,,2.941,273
abject,1.67,1.67,,,
ablaze,3.82,3.82,,,
able,2.38,2.38,,3.182,302
able and willing,1.4,,1.4,,
able bodied,3.2,,3.2,,
able for,2.16,,2.16,,
able rating,2.2,,2.2,,
able seaman,3.1,,3.1,,
able to take a joke,1.9,,1.9,,
able-bodied,3.1,,3.1,,
ably,1.78,1.78,,,
abnormal,2.14,2.14,,,
abnormal psychology,2.6,,2.6,,
abnormality,2.48,2.48,,,
abnormally,1.75,1.75,,,
aboard,3.97,3.97,,,
abode,3.92,3.92,,4.464,498
abolish,2.19,2.19,,,
abolishable,1.96,1.96,,,
abolisher,2.29,2.29,,,
abolishment,2.31,2.31,,,
abolition,2.43,2.43,,,
abolitionism,1.86,1.86,,,
abolitionist,3.28,3.28,,,
abominable,1.89,1.89,,,
abominable snowman,2.9,,2.9,,
abominableness,1.58,1.58,,,
abominably,2.14,2.14,,,
abominate,1.68,1.68,,,
abomination,2.23,2.23,,,
aboriginal,3.12,3.12,,,335
abort,2.83,2.83,,,
aborted,2.83,2.83,,,
abortion,3.41,3.41,,5.364,
abortion pill,4.4,,4.4,,
abortion right,2.91,,2.91,,
abortionist,3.19,3.19,,,
abortive,1.88,1.88,,,
abortively,1.95,1.95,,,
abound,2.27,2.27,,,
abound in,2.8,,2.8,,
abound in one's own sense,1.93,,1.93,,
abound with,2.0,,2.0,,
abounding,2.04,2.04,,,
about,1.77,1.77,,,227
