Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
book in,2.7,,2.7,,
book into,1.82,,1.82,,
book jacket,4.6,,4.6,,
book learning,3.2,,3.2,,
book lover,3.3,,3.3,,
book matches,4.3,,4.3,,
book of common prayer,4.1,,4.1,,
book of facts,3.2,,3.2,,
book of instructions,3.9,,3.9,,
book of job,3.09,,3.09,,
book of judges,2.67,,2.67,,
book of knowledge,2.6,,2.6,,
book of maps,4.81,,4.81,,
book of micah,4.4,,4.4,,
book of mormon,4.1,,4.1,,
book of numbers,3.9,,3.9,,
book of proverbs,3.9,,3.9,,
book of psalms,3.6,,3.6,,
book on,2.36,,2.36,,
book on out of somewhere,2.8,,2.8,,
book out,2.3,,2.3,,
book rate,2.6,,2.6,,
book review,3.6,3.6,3.82,,
book reviewer,3.8,,3.8,,
book seller,3.9,,3.9,,
book signing,3.59,,3.59,,
book token,3.4,,3.4,,
book up,2.3,,2.3,,
book value,2.55,,2.55,,
bookable offence,2.8,,2.8,,
bookbag,4.86,4.86,,,
bookbinder,4.93,4.93,,,
bookbinding,4.46,4.46,,,
bookcase,4.93,4.93,,6.5,
booked,2.55,2.55,,,
booked up,2.61,,2.61,,
bookend,4.32,4.32,,,
booker,3.79,3.79,,,
booker prize,3.7,,3.7,,
bookie,3.92,3.92,,,
booking,3.0,3.0,,,
booking agent,3.8,,3.8,,
booking clerk,4.0,,4.0,,
booking office,4.25,,4.25,,
bookish,2.07,2.07,,,
bookishness,2.12,2.12,,,
bookkeeper,4.64,4.64,,,
bookkeeping,3.43,3.43,,,
bookless,2.72,2.72,,,
booklet,4.72,4.72,,,
booklist,4.5,4.5,,,
booklover,3.16,3.16,,,
bookmaker,3.97,3.97,,,
bookmaking,3.63,3.63,,,
bookman,3.65,3.65,,,
bookmark,4.9,4.9,,,
bookmarker,4.62,4.62,,,
bookrack,4.75,4.75,,,
bookroom,4.68,4.68,,,
bookseller,4.43,4.43,,,
bookselling,3.62,3.62,,,
bookshelf,4.93,4.93,,,
bookshop,4.84,4.84,,,
bookstall,4.21,4.21,,,
bookstand,4.59,4.59,,,
bookstore,4.89,4.89,,,
bookwork,3.93,3.93,,,
bookworm,3.69,3.69,,,
boolean algebra,2.1,,2.1,,
boolean operation,2.38,,2.38,,
boolean operator,3.78,,3.78,,
boom,3.66,3.66,,3.438,
boom and bust,2.1,,2.1,,
boom box,4.36,,4.36,,
boom goes the dynamite,2.31,,2.31,,
boom or bust,2.1,,2.1,,
boom out,2.4,,2.4,,
boom town,2.6,,2.6,,
boom-bust cycle,2.2,,2.2,,
boomerang,4.7,4.7,,,
boomerang child,2.5,,2.5,,
boomerang kid,2.31,,2.31,,
booming,2.37,2.37,,,
boomingly,1.92,1.92,,,
boomshanka,1.55,,1.55,,
boon,2.48,2.48,,,
boondocks,3.71,3.71,,,
boorishly,1.68,1.68,,,
boorishness,2.26,2.26,,,
boost,2.89,2.89,,3.324,
boost of someone up,1.6,,1.6,,
boost up,2.3,,2.3,,
booster,2.93,2.93,,,
booster cable,4.4,,4.4,,
booster chair,4.3,,4.3,,
booster cushion,4.0,,4.0,,
booster dose,3.6,,3.6,,
booster rocket,4.0,,4.0,,
booster seat,4.81,4.81,4.8,,
booster shot,4.1,,4.1,,
booster station,3.4,,3.4,,
booster unit,3.2,,3.2,,
boot,4.96,4.96,,6.586,595
boot camp,4.1,4.1,4.36,,
boot disk,4.18,,4.18,,
boot hill,3.36,,3.36,,
boot it,2.8,,2.8,,
boot jack,3.36,,3.36,,
boot laces,4.91,,4.91,,
boot loader,3.4,,3.4,,
boot maker,4.4,,4.4,,
boot out,2.3,,2.3,,
boot out of,2.18,,2.18,,
boot sale,3.5,,3.5,,
boot sector,2.8,,2.8,,
boot someone out,3.3,,3.3,,
boot up,2.82,,2.82,,
boot up your computer,3.9,,3.9,,
booted,3.14,3.14,,,
booth,4.42,4.42,,,556
bootie,4.59,4.59,,,
booting,2.96,2.96,,,
bootlace,4.54,4.54,,,
bootleg,2.92,2.92,,,
bootlegger,3.86,3.86,,,
bootlegging,2.5,2.5,,,
bootless,3.0,3.0,,,
bootlicker,3.5,3.5,,,
boots,5.0,5.0,,,
boots and all,2.0,,2.0,,
boots on the ground,2.3,,2.3,,
bootstrap,4.31,4.31,,,
bootstrap program,2.36,,2.36,,
booty,4.36,4.36,,,
booty call,2.4,,2.4,,
booty shorts,4.36,,4.36,,
booze,4.48,4.48,,,
booze can,4.6,,4.6,,
booze cruise,3.1,,3.1,,
booze it up,2.7,,2.7,,
boozer,3.37,3.37,,,
booziness,2.23,2.23,,,
boozing buddies,2.89,,2.89,,
boozy,2.46,2.46,,,
bop,3.63,3.63,,,
borax,4.15,4.15,,,
bordello,4.04,4.04,,,
border,4.29,4.29,,,444
border collie,4.82,,4.82,,
border crossing,4.18,,4.18,,
border line,2.8,,2.8,,
border on,2.5,,2.5,,
border patrol,4.5,4.5,4.4,,
border patrolman,4.2,,4.2,,
border terrier,4.4,,4.4,,
border town,3.93,,3.93,,
bordered,3.7,3.7,,,
bordering,2.83,2.83,,,
borderland,2.96,2.96,,,
borderless,2.76,2.76,,,
borderline,3.0,3.0,,,
borderline personality disorder,2.82,,2.82,,
borderline schizophrenia,3.0,,3.0,,
bore,2.96,2.96,,,344
bore bit,3.6,,3.6,,
bore into,3.13,,3.13,,
bore the pants off someone,1.6,,1.6,,
bore you to death,2.2,,2.2,,
bored,2.13,2.13,,3.057,
bored out of one's brains,2.0,,2.0,,
bored out of one's mind,1.4,,1.4,,
bored out of one's skull,2.0,,2.0,,
bored silly,1.91,,1.91,,
bored to death,1.5,,1.5,,
bored to distraction,1.4,,1.4,,
bored to tears,1.9,,1.9,,
boredom,1.96,1.96,,2.857,262
borehole,4.0,4.0,,,
boric acid,4.0,,4.0,,
boring,2.07,2.07,,2.914,
boringly,1.71,1.71,,,
boringness,1.86,1.86,,,
borlotti bean,4.9,,4.9,,
born,3.22,3.22,,4.3,336
born again,2.0,,2.0,,
born and bred,2.67,,2.67,,
born in a barn,1.6,,1.6,,
born on the Fourth of July,2.8,,2.8,,
born out of wedlock,3.5,,3.5,,
born tired,2.4,,2.4,,
born with a silver spoon in one's mouth,2.82,,2.82,,
born with a silver spoon in your mouth,1.18,,1.18,,
born within the sound of bow bells,2.27,,2.27,,
born-again,2.2,,2.2,,
borne,2.49,,,,324
borofluoric acid,3.6,,3.6,,
boron oxide,3.9,,3.9,,
borough,3.81,3.81,,,
borough english,2.77,,2.77,,
borrow,3.1,3.1,,3.485,
borrowable,1.73,1.73,,,
borrowed time,1.2,,1.2,,
borrower,3.27,3.27,,,
borrower card,3.41,,3.41,,
borrowing,2.9,2.9,,,
borrowing cost,2.45,,2.45,,
borrowing power,1.9,,1.9,,
bosom,4.63,4.63,,5.765,552
bosom buddy,2.1,,2.1,,
bosom friend,2.6,,2.6,,
boss,3.83,3.83,,6.029,552
boss about,2.7,,2.7,,
boss around,2.37,,2.37,,
boss eyed,2.3,,2.3,,
boss someone around,2.91,,2.91,,
bossa nova,3.5,,3.5,,
bossed,2.23,2.23,,,
bossiness,2.15,2.15,,,
bossing,2.4,2.4,,,
bossy,2.21,2.21,,,
Boston baked beans,4.5,,4.5,,
Boston cream pie,4.89,,4.89,,
Boston lettuce,4.9,,4.9,,
Boston Tea Party,3.82,,3.82,,
botanic,2.35,2.35,,,
botanic garden,4.0,,4.0,,
botanical,3.54,3.54,,,
botanical garden,4.6,,4.6,,
botanical name,3.3,,3.3,,
botanically,2.25,2.25,,,
botanist,4.07,4.07,,5.259,
botany,2.97,2.97,,5.138,444
botany bay,3.45,,3.45,,
botch,2.75,2.75,,,
botch up,2.24,,2.24,,
botched,2.48,2.48,,,
botchy,2.52,2.52,,,
both,2.97,2.97,,,322
both at once,2.7,,2.7,,
both sides,2.7,,2.7,,
bother,2.0,2.0,,2.686,267
bother to,1.9,,1.9,,
bother with,2.27,,2.27,,
bothersome,1.85,1.85,,,
bothnian sea,4.25,,4.25,,
bottle,4.91,4.91,,6.429,591
bottle and glass,4.4,,4.4,,
bottle away,2.1,,2.1,,
bottle bank,3.64,,3.64,,
bottle blond,3.3,,3.3,,
bottle blonde,3.25,,3.25,,
bottle brush,4.6,,4.6,,
bottle cap,4.72,,4.72,,
bottle cork,4.4,,4.4,,
bottle drive,2.9,,2.9,,
bottle green,3.36,,3.36,,
bottle holder,4.2,,4.2,,
bottle label,4.8,,4.8,,
bottle man,4.4,,4.4,,
bottle of water,4.64,,4.64,,
bottle opener,4.96,4.96,4.4,,
bottle out,2.0,,2.0,,
bottle out of,2.8,,2.8,,
bottle party,3.5,,3.5,,
bottle resealer,3.7,,3.7,,
bottle screw,4.0,,4.0,,
bottle shop,4.0,,4.0,,
bottle something up,2.3,,2.3,,
bottle sterilizer,4.1,,4.1,,
bottle store,4.5,,4.5,,
bottle top,4.4,,4.4,,
bottle up,1.8,,1.8,,
bottle warmer,4.5,,4.5,,
bottlebrush,4.62,4.62,,,
bottled,4.31,4.31,,,
bottled gas,4.6,,4.6,,
bottled water,4.8,,4.8,,
bottlelike,3.22,3.22,,,
bottleneck,3.97,3.97,,,
bottlenose,4.32,4.32,,,
bottlenose dolphin,4.9,,4.9,,
bottler,4.0,4.0,,,
bottling,3.26,3.26,,,
bottling plant,4.0,,4.0,,
bottom,4.25,4.25,,4.781,
bottom dog,3.0,,3.0,,
bottom drawer,4.4,,4.4,,
bottom edge,2.82,,2.82,,
bottom end,2.64,,2.64,,
bottom falls out,2.7,,2.7,,
bottom feeder,2.82,,2.82,,
bottom fell out,2.7,,2.7,,
bottom fermentation,3.2,,3.2,,
bottom fish,3.54,,3.54,,
bottom gear,3.3,,3.3,,
bottom hand,2.73,,2.73,,
bottom line,2.37,2.37,2.6,,
bottom line is the bottom line,2.3,,2.3,,
bottom of the barrel,2.82,,2.82,,
bottom of the harbour,3.2,,3.2,,
bottom of the inning,2.4,,2.4,,
bottom of the line,2.2,,2.2,,
bottom of the ninth,3.2,,3.2,,
bottom out,2.2,,2.2,,
bottom rot,3.09,,3.09,,
bottom round,3.7,,3.7,,
bottom rung,3.5,,3.5,,
bottom the house,2.95,,2.95,,
bottom up,3.07,3.07,,,
bottom-up,2.1,,2.1,,
bottomed,2.64,2.64,,,
bottoming,2.17,2.17,,,
bottomless,2.11,2.11,,,
bottomless pit,2.5,,2.5,,
bottomline,2.32,2.32,,,
bottommost,3.3,3.3,,,
bottoms up,1.8,,1.8,,
bottoms up!,2.5,,2.5,,
botulism,3.52,3.52,,,
bought,2.96,2.96,,4.088,
bought the farm,3.3,,3.3,,
bought the t-shirt,3.6,,3.6,,
bouillon,4.2,4.2,,,
bouillon cube,4.52,4.52,4.8,,
boulder,4.67,4.67,,6.265,597
boulder clay,4.0,,4.0,,
boulevard,4.73,4.73,,,
boulevard stop,3.3,,3.3,,
bounce,3.86,3.86,,4.531,
bounce around,3.06,,3.06,,
bounce back,2.67,2.67,2.5,,
bounce back from something,2.18,,2.18,,
bounce ideas off someone,1.88,,1.88,,
bounce into,1.9,,1.9,,
bounce off,3.8,,3.8,,
bounce off the walls,2.1,,2.1,,
bounce pass,4.7,,4.7,,
bounce something around,1.7,,1.7,,
bouncer,4.38,4.38,,,
bounciness,2.75,2.75,,,
bouncing,3.93,3.93,,,
bouncing ball,4.2,,4.2,,
bouncing bet,2.3,,2.3,,
bouncing castle,3.7,,3.7,,
bouncing off the walls,2.5,,2.5,,
bouncing putty,4.08,,4.08,,
bouncingly,2.29,2.29,,,
bouncy,3.18,3.18,,4.059,
bouncy castle,4.73,,4.73,,
bound,3.43,3.43,,3.824,
bound and determined,2.6,,2.6,,
bound for,1.3,,1.3,,
bound form,2.55,,2.55,,
bound to,1.92,,1.92,,
bound up,4.27,,4.27,,
boundary,3.04,3.04,,,411
boundary condition,2.3,,2.3,,
boundary layer,3.2,,3.2,,
boundary line,3.3,,3.3,,
bounded,2.83,2.83,,,
bounded interval,2.0,,2.0,,
bounding,3.24,3.24,,,
boundless,2.0,2.0,,,
boundlessly,2.04,2.04,,,
boundlessness,1.44,1.44,,,
bounteous,2.46,2.46,,,
bountiful,2.07,2.07,,,
bountifully,1.79,1.79,,,
bountifulness,1.85,1.85,,,
bounty,3.41,3.41,,,
bounty hunter,4.0,,4.0,,
bouquet,4.74,4.74,,5.8,566
bourbon,4.93,4.93,,,570
bourbon cream,4.67,,4.67,,
bourbon whiskey,4.82,,4.82,,
bourgeois,1.97,1.97,,,
bourgeoisie,2.42,2.42,,,
bout,3.0,3.0,,3.581,
boutique,4.27,4.27,,,
boutique hotel,3.8,,3.8,,
bovine,3.93,3.93,,,
bovine malignant catarrhal fever,3.08,,3.08,,
bovine viral diarrhea,4.1,,4.1,,
bow,4.61,4.61,,5.514,572
bow and arrow,4.27,,4.27,,
bow down,3.08,,3.08,,
bow down to,2.9,,2.9,,
bow leg,4.0,,4.0,,
bow legs,4.6,,4.6,,
bow net,4.1,,4.1,,
bow out,3.19,3.19,3.25,,
bow spring,3.9,,3.9,,
bow tie,4.86,4.86,4.3,,
bow to,3.4,,3.4,,
bow window,3.6,,3.6,,
bowed,3.3,3.3,,,
bowed down,3.3,,3.3,,
bowel,4.53,4.53,,6.091,
bowel movement,4.23,4.23,4.18,,
bowels,4.33,4.33,,,
bower,4.08,4.08,,,
bowie knife,4.4,,4.4,,
bowing,3.67,3.67,,,
bowl,4.87,4.87,,6.546,575
bowl a googly,2.1,,2.1,,
bowl of cherries,4.0,,4.0,,
bowl of chips,4.4,,4.4,,
bowl over,2.73,,2.73,,
bowl somebody over,2.5,,2.5,,
bowled a maiden over,1.6,,1.6,,
bowleg,4.12,4.12,,,
bowlegged,4.19,4.19,,,
bowler,4.45,4.45,,,
bowler hat,4.8,4.8,4.27,,
bowlful,3.64,3.64,,,
bowlike,3.08,3.08,,,
bowline knot,4.4,,4.4,,
bowling,4.56,4.56,,,
bowling alley,4.67,,4.67,,
bowling ball,5.0,5.0,5.0,,
bowling equipment,4.6,,4.6,,
bowling green,4.2,,4.2,,
bowling pin,4.2,,4.2,,
bowling set,4.1,,4.1,,
bowling shoe,4.9,,4.9,,
bowls,4.73,4.73,,,
bowstring,4.64,4.64,,,
bowtie,4.89,4.89,,,
bowtie pasta,4.7,,4.7,,
box,4.9,4.9,,6.29,597
box beam,3.83,,3.83,,
box camera,4.4,,4.4,,
box canyon,4.4,,4.4,,
box clever,2.3,,2.3,,
box coat,3.2,,3.2,,
box cutter,4.55,,4.55,,
box elder,3.2,,3.2,,
box end wrench,4.2,,4.2,,
box girder,4.1,,4.1,,
box in,2.8,,2.8,,
box junction,4.1,,4.1,,
box kite,3.9,,3.9,,
box lunch,4.9,,4.9,,
box model,3.2,,3.2,,
box number,3.0,,3.0,,
box of chocolates,4.82,,4.82,,
box off,2.6,,2.6,,
box office,4.46,4.46,4.0,,
box oneself into a corner,2.6,,2.6,,
box room,4.3,,4.3,,
box score,4.1,,4.1,,
box seat,4.18,,4.18,,
box set,4.2,,4.2,,
box spanner,3.55,,3.55,,
box spring,4.76,,4.76,,
box tortoise,4.36,,4.36,,
box turtle,4.5,,4.5,,
box up,3.5,,3.5,,
box wrench,3.9,,3.9,,
box-office bomb,2.8,,2.8,,
boxcar,4.83,4.83,,,
boxed in,2.55,,2.55,,
boxed lunch,4.3,,4.3,,
boxer,4.63,4.63,,6.152,
boxer shorts,4.9,4.9,4.4,,
boxing,4.55,4.55,,5.971,
Boxing day,4.3,,4.3,,
boxing equipment,3.8,,3.8,,
boxing glove,4.27,,4.27,,
boxing gloves,4.97,4.97,4.6,,
boxing match,4.48,4.48,4.6,,
boxing ring,4.63,4.63,5.0,,
boxingglove,4.65,4.65,,,
boxlike,3.57,3.57,,,
boxy,3.2,3.2,,,
boy,4.76,4.76,,6.412,609
boy band,4.0,,4.0,,
boy in the boat,3.6,,3.6,,
boy is father to the man,3.6,,3.6,,
boy racer,3.8,,3.8,,
boy scout,4.32,4.32,4.2,,
boy scouts,4.3,,4.3,,
Boy Scouts of America,2.9,,2.9,,
boy shorts,4.5,,4.5,,
boy toy,2.31,,2.31,,
boy wonder,1.8,,1.8,,
"boy, oh boy",1.5,,1.5,,
boycott,2.76,2.76,,2.939,
boycotter,3.77,3.77,,,
boyfriend,4.59,4.59,,,
boyhood,2.29,2.29,,,
boyish,2.43,2.43,,,
boyishly,2.14,2.14,,,
boyishness,2.37,2.37,,,
boys and girls,4.0,,4.0,,
boys and their toys,2.55,,2.55,,
boys will be boys,2.1,,2.1,,
boys' own,2.2,,2.2,,
boysenberry,4.75,4.75,,,
bra,4.54,4.54,,6.629,629
bra strap,4.67,,4.67,,
brace,3.96,3.96,,,
brace aback,2.5,,2.5,,
brace and bit,3.5,,3.5,,
brace oneself for,2.36,,2.36,,
brace position,3.4,,3.4,,
brace up,2.0,,2.0,,
brace wrench,3.6,,3.6,,
brace yourself,2.6,,2.6,,
braced,3.0,3.0,,,
bracelet,4.96,4.96,,6.743,602
bracelet wood,3.82,,3.82,,
bracer,2.86,2.86,,,
braces,5.0,5.0,,,
brachial vein,4.0,,4.0,,
bracing,3.14,3.14,,,
bracket,4.43,4.43,,5.594,
bracketing,3.31,3.31,,,
brackish water,3.7,,3.7,,
brady bunch,2.7,,2.7,,
brag,2.41,2.41,,,
brag sheet,2.81,,2.81,,
bragg's law,2.8,,2.8,,
braggart,3.15,3.15,,,
bragger,3.0,3.0,,,
bragging,3.1,3.1,,,
bragging rights,1.8,,1.8,,
braggingly,1.92,1.92,,,
braid,4.38,4.38,,,
braided,4.36,4.36,,,
braided hair,4.9,,4.9,,
braiding,4.11,4.11,,,
braille,4.44,4.44,,,
brain,4.69,4.69,,6.355,556
brain box,3.0,,3.0,,
brain bucket,3.0,,3.0,,
brain candy,1.91,,1.91,,
brain cell,4.5,,4.5,,
brain cramp,1.9,,1.9,,
brain damage,3.8,,3.8,,
brain dead,3.2,,3.2,,
brain death,2.8,,2.8,,
brain disease,4.1,,4.1,,
brain disorder,3.6,,3.6,,
brain drain,2.0,2.0,2.27,,
brain edema,3.73,,3.73,,
brain fart,1.3,,1.3,,
brain fever,2.9,,2.9,,
brain gain,2.1,,2.1,,
brain injury,4.1,,4.1,,
brain is fried,2.0,,2.0,,
brain like a sieve,1.7,,1.7,,
brain mushroom,3.8,,3.8,,
brain scan,4.81,4.81,3.1,,
brain stem,3.9,,3.9,,
brain storm,1.9,,1.9,,
brain surgeon,3.9,,3.9,,
brain surgery,4.0,,4.0,,
brain teaser,3.52,3.52,2.3,,
brain tissue,4.27,,4.27,,
brain traffic,2.36,,2.36,,
brain trust,2.3,,2.3,,
brain tumor,4.2,,4.2,,
brain twister,2.09,,2.09,,
brain wave,2.2,,2.2,,
brainchild,2.55,2.55,,,
braininess,1.89,1.89,,,
brainless,2.18,2.18,,,
brainlessly,1.89,1.89,,,
brainlessness,2.08,2.08,,,
brainpower,1.56,1.56,,,
brains,3.96,3.96,,,
brains and brawn,2.4,,2.4,,
brains trust,1.9,,1.9,,
brainsickness,2.43,2.43,,,
brainstem,4.6,4.6,,,
brainstorm,2.55,2.55,2.7,,
brainteaser,2.93,2.93,,,
brainwash,2.21,2.21,,,
brainwashed,2.04,2.04,,,
brainwasher,2.96,2.96,,,
brainwashing,2.43,2.43,,,
brainwave,3.3,3.3,,,
brainwork,2.12,2.12,,,
brainy,1.88,1.88,,3.125,
braise,3.09,3.09,,,
braised,3.12,3.12,,,
braising steak,4.1,,4.1,,
brake,4.44,4.44,,5.514,526
brake band,3.4,,3.4,,
brake block,3.4,,3.4,,
brake cable,4.7,,4.7,,
brake caliper,4.6,,4.6,,
brake cylinder,4.64,,4.64,,
brake disc,3.55,,3.55,,
brake disk,4.1,,4.1,,
brake drum,4.4,,4.4,,
brake failure,3.64,,3.64,,
brake fluid,4.8,,4.8,,
brake lever,4.2,,4.2,,
brake light,4.92,4.92,4.9,,
brake lining,3.67,,3.67,,
brake pad,4.9,,4.9,,
brake pedal,4.69,4.69,4.64,,
brake press,3.9,,3.9,,
brake shoe,3.6,,3.6,,
brake system,4.1,,4.1,,
brakeless,3.43,3.43,,,
braless,3.92,3.92,,,
bramble,4.12,4.12,,,378
bramble berry,4.3,,4.3,,
bran,4.48,4.48,,,
bran flake,4.6,,4.6,,
bran muffin,4.1,,4.1,,
bran tub,3.6,,3.6,,
branch,4.9,4.9,,,583
branch line,2.91,,2.91,,
branch off,2.6,,2.6,,
branch office,4.0,,4.0,,
branch out,2.77,2.77,2.18,,
branch water,3.4,,3.4,,
branched,3.14,3.14,,,
branchial arch,4.07,,4.07,,
branchial cleft,4.2,,4.2,,
branching,2.84,2.84,,,
branchless,3.0,3.0,,,
branchlike,2.88,2.88,,,
branchy,3.54,3.54,,,
brand,3.29,3.29,,3.333,
brand avatar,4.3,,4.3,,
brand image,4.0,,4.0,,
brand leader,3.27,,3.27,,
brand linkage,3.09,,3.09,,
brand loyalty,2.82,,2.82,,
brand name,3.6,,3.6,,
brand new,3.17,3.17,3.7,,
brand spanking new,2.67,,2.67,,
brand-new,2.8,,2.8,,
branded,3.52,3.52,,,
brander,2.82,2.82,,,
branding iron,4.3,,4.3,,
brandy,4.81,4.81,,,595
brandy butter,3.27,,3.27,,
brandy glass,4.18,,4.18,,
brandy sling,3.3,,3.3,,
brandy snap,4.0,,4.0,,
brash,2.46,2.46,,,
brashness,1.61,1.61,,,
brass,4.7,4.7,,5.5,577
brass band,4.67,4.67,4.0,,
brass buttons,4.5,,4.5,,
brass ensemble,3.5,,3.5,,
brass farthing,3.45,,3.45,,
brass hat,3.58,,3.58,,
brass instrument,4.0,,4.0,,
brass instruments,4.36,,4.36,,
brass knuckle,4.46,,4.46,,
brass knuckles,4.52,4.52,4.18,,
brass knucks,4.8,,4.8,,
brass monkey,3.7,,3.7,,
brass monkeys,3.7,,3.7,,
brass neck,3.27,,3.27,,
brass plaque,4.9,,4.9,,
brass ring,4.4,,4.4,,
brass rubbing,2.71,,2.71,,
brass section,3.9,,3.9,,
brass tacks,3.2,,3.2,,
brass-neck,2.83,,2.83,,
brass-necked,2.73,,2.73,,
brassed off,1.8,,1.8,,
brasserie,3.93,,,5.394,
brassiere,4.64,4.64,,6.0,592
brassiness,1.96,1.96,,,
brasslike,3.3,3.3,,,
brassware,4.68,4.68,,,
brassy,3.36,3.36,,,
brat,3.62,3.62,,,501
brat pack,2.8,,2.8,,
bratty,2.31,2.31,,,
bratwurst,4.82,4.82,,,
bravado,1.93,1.93,,,
brave,2.26,2.26,,2.629,283
brave new world,2.09,,2.09,,
brave out,1.73,,1.73,,
bravely,1.93,1.93,,,
braveness,1.92,1.92,,,
braver,2.0,2.0,,,
bravery,1.96,1.96,,3.387,261
braving,2.12,2.12,,,
bravo,1.86,1.86,,,
brawl,3.63,3.63,,,456
brawler,4.04,4.04,,,
brawling,3.37,3.37,,,
brawn,2.79,2.79,,,
brawniness,2.65,2.65,,,
brawny,2.88,2.88,,,
brazen,1.93,1.93,,2.448,
brazen bull,3.55,,3.55,,
brazen out,1.9,,1.9,,
brazenfaced,2.7,2.7,,,
brazenly,2.29,2.29,,,
brazenness,1.82,1.82,,,
brazier,3.87,3.87,,,
brazil,4.19,4.19,,,
brazil nut,4.55,,4.55,,
brazilian wax,4.7,,4.7,,
breach,2.48,2.48,,3.543,
breach of contract,2.9,,2.9,,
breach of duty,2.7,,2.7,,
breach of promise,2.0,,2.0,,
breach of the peace,1.91,,1.91,,
breach of trust,3.2,,3.2,,
bread,4.92,4.92,,6.828,622
bread always falls buttered side down,2.5,,2.5,,
bread and butter,3.82,,3.82,,
bread and butter pickle,3.9,,3.9,,
bread baking,4.5,,4.5,,
bread basket,4.24,,4.24,,
bread bin,3.6,,3.6,,
bread board,4.83,,4.83,,
bread box,4.79,,4.79,,
bread crumbs,4.36,,4.36,,
bread dough,4.3,,4.3,,
bread knife,4.7,,4.7,,
bread line,3.73,,3.73,,
bread maker,4.5,,4.5,,
bread mold,4.4,,4.4,,
bread plate,4.64,,4.64,,
bread pudding,4.4,,4.4,,
bread roll,4.2,,4.2,,
bread sauce,4.4,,4.4,,
bread slice,4.0,,4.0,,
bread slicer,4.9,,4.9,,
bread toaster,4.9,,4.9,,
bread tree,4.4,,4.4,,
bread warmer,3.8,,3.8,,
bread-and-butter,3.5,,3.5,,
bread-and-butter letter,2.4,,2.4,,
bread-and-butter pudding,4.61,,4.61,,
breadbasket,4.0,4.0,,,
breadbin,4.54,4.54,,,
breadboard,4.7,4.7,,,
breadbox,4.89,4.89,,,
breadcrumb,4.89,4.89,,,
breaded,4.07,4.07,,,
breadfruit,4.79,4.79,,,
breadfruit tree,4.25,,4.25,,
breadstick,4.97,4.97,,,
breadth,2.23,2.23,,,
breadwinner,3.24,3.24,2.65,,
breadwinning,2.0,2.0,,,
break,3.71,3.71,,4.387,360
break a code,2.2,,2.2,,
break a fall,2.27,,2.27,,
break a habit,2.6,,2.6,,
break a heart,1.4,,1.4,,
break a law,2.5,,2.5,,
break a leg,1.83,,1.83,,
break a promise,2.1,,2.1,,
break a record,2.82,,2.82,,
break a silence,2.12,,2.12,,
break a spell,2.2,,2.2,,
break a story,2.45,,2.45,,
break a sweat,3.1,,3.1,,
break and enter,3.0,,3.0,,
break apart,3.97,3.97,3.5,,
break away,2.4,,2.4,,
break away from,3.1,,3.1,,
break away from something,1.4,,1.4,,
break bread with someone,2.1,,2.1,,
break camp,3.2,,3.2,,
break cover,2.73,,2.73,,
break curfew,3.38,,3.38,,
break dance,4.1,,4.1,,
break dancer,4.3,,4.3,,
break dancing,4.27,,4.27,,
break down,3.28,3.28,2.5,,
break even,1.93,1.93,2.82,,
break every rule in the book,1.9,,1.9,,
break for,2.4,,2.4,,
break free,2.4,,2.4,,
break fresh ground,2.5,,2.5,,
break from,1.9,,1.9,,
break ground,2.8,,2.8,,
break in,3.41,3.41,3.5,,
break into,2.3,,2.3,,
break into laughter,2.0,,2.0,,
break into smile,3.6,,3.6,,
break into song,3.36,,3.36,,
break into the market,2.1,,2.1,,
break it down,2.5,,2.5,,
break loose,2.5,,2.5,,
break new ground,1.7,,1.7,,
break of day,1.9,,1.9,,
break of serve,2.56,,2.56,,
break of the day,2.3,,2.3,,
break off,1.9,,1.9,,
break one's arm patting oneself on the back,2.44,,2.44,,
break one's back,2.5,,2.5,,
break one's duck,2.4,,2.4,,
break one's fall,2.5,,2.5,,
break one's heart,1.3,,1.3,,
break one's lance,2.55,,2.55,,
break open,2.82,,2.82,,
break out,3.0,3.0,3.1,,
break out in,2.7,,2.7,,
break out in a cold sweat,2.64,,2.64,,
break out in a rash,3.0,,3.0,,
break out in cheers,3.0,,3.0,,
break out of,2.3,,2.3,,
break point,2.4,,2.4,,
break ranks,1.9,,1.9,,
break room,3.7,,3.7,,
break seal,3.1,,3.1,,
break short,3.2,,3.2,,
break silence,2.45,,2.45,,
break somebody's fall,2.3,,2.3,,
break somebody's heart,1.6,,1.6,,
break someone's heart,2.2,,2.2,,
break the back of,2.09,,2.09,,
break the back of the beast,1.9,,1.9,,
break the bank,2.2,,2.2,,
break the buck,2.2,,2.2,,
break the deadlock,2.3,,2.3,,
break the fourth wall,1.6,,1.6,,
break the ice,2.4,,2.4,,
break the mold,2.31,,2.31,,
break the mould,1.6,,1.6,,
break the news,2.11,,2.11,,
break the record,2.6,,2.6,,
break the Sabbath,1.6,,1.6,,
break the seal,3.55,,3.55,,
break the silence,2.9,,2.9,,
break the strike,1.91,,1.91,,
break through,2.44,2.44,2.6,,
break time,2.9,,2.9,,
break up,3.11,3.11,2.3,,
break up with,3.4,,3.4,,
break water,3.5,,3.5,,
break wind,3.2,,3.2,,
break with,2.6,,2.6,,
break your back,2.5,,2.5,,
break your neck,3.55,,3.55,,
break your word,2.36,,2.36,,
